DATE,Bitcoin (USD)
09-01-2018,14481.00
10-01-2018,14875.00
11-01-2018,13308.00
12-01-2018,13820.00
13-01-2018,14188.00
14-01-2018,13656.00
15-01-2018,13590.00
16-01-2018,11570.00
17-01-2018,11200.00
18-01-2018,11306.00
19-01-2018,11499.00
20-01-2018,12763.00
21-01-2018,11518.00
22-01-2018,10767.00
23-01-2018,10825.00
24-01-2018,11357.00
25-01-2018,11118.00
26-01-2018,11087.00
27-01-2018,11319.00
28-01-2018,11536.00
29-01-2018,11123.00
30-01-2018,9995.00
31-01-2018,10100.00
01-02-2018,9014.00
02-02-2018,8788.00
03-02-2018,9240.00
04-02-2018,8168.00
05-02-2018,6905.00
06-02-2018,7688.00
07-02-2018,7576.00
08-02-2018,8218.00
09-02-2018,8671.00
10-02-2018,8547.00
11-02-2018,8073.00
12-02-2018,8872.00
13-02-2018,8520.00
14-02-2018,9473.00
15-02-2018,10031.00
16-02-2018,10167.00
17-02-2018,11122.00
18-02-2018,10380.00
19-02-2018,11140.00
20-02-2018,11236.00
21-02-2018,10454.00
22-02-2018,9830.00
23-02-2018,10145.00
24-02-2018,9689.00
25-02-2018,9598.00
26-02-2018,10300.00
27-02-2018,10567.00
28-02-2018,10307.00
01-03-2018,10896.00
02-03-2018,11000.00
03-03-2018,11433.00
04-03-2018,11470.00
05-03-2018,11378.00
06-03-2018,10700.00
07-03-2018,9920.00
08-03-2018,9305.00
09-03-2018,9255.00
10-03-2018,8795.00
11-03-2018,9534.00
12-03-2018,9120.00
13-03-2018,9145.00
14-03-2018,8207.00
15-03-2018,8260.00
16-03-2018,8275.00
17-03-2018,7865.00
18-03-2018,8192.00
19-03-2018,8589.00
20-03-2018,8900.00
21-03-2018,8892.00
22-03-2018,8715.00
23-03-2018,8927.00
24-03-2018,8531.00
25-03-2018,8453.00
26-03-2018,8145.00
27-03-2018,7794.00
28-03-2018,7943.00
29-03-2018,7080.00
30-03-2018,6848.00
31-03-2018,6929.00
01-04-2018,6816.00
02-04-2018,7045.00
03-04-2018,7425.00
04-04-2018,6792.00
05-04-2018,6786.00
06-04-2018,6619.00
07-04-2018,6894.00
08-04-2018,7020.00
09-04-2018,6771.00
10-04-2018,6825.00
11-04-2018,6943.00
12-04-2018,7916.00
13-04-2018,7893.00
14-04-2018,8003.00
15-04-2018,8355.00
16-04-2018,8049.00
17-04-2018,7892.00
18-04-2018,8152.00
19-04-2018,8274.00
20-04-2018,8866.00
21-04-2018,8915.00
22-04-2018,8795.00
23-04-2018,8931.00
24-04-2018,9650.00
25-04-2018,8866.00
26-04-2018,9272.00
27-04-2018,8923.00
28-04-2018,9330.00
29-04-2018,9389.00
30-04-2018,9244.00
01-05-2018,9072.00
02-05-2018,9190.00
03-05-2018,9726.00
04-05-2018,9685.00
05-05-2018,9800.00
06-05-2018,9600.00
07-05-2018,9356.00
08-05-2018,9178.00
09-05-2018,9300.00
10-05-2018,9011.00
11-05-2018,8403.00
12-05-2018,8475.00
13-05-2018,8686.00
14-05-2018,8670.00
15-05-2018,8477.00
16-05-2018,8344.00
17-05-2018,8059.00
18-05-2018,8239.00
19-05-2018,8236.00
20-05-2018,8517.00
21-05-2018,8393.00
22-05-2018,7988.00
23-05-2018,7505.00
24-05-2018,7584.00
25-05-2018,7459.00
26-05-2018,7338.00
27-05-2018,7347.00
28-05-2018,7108.00
29-05-2018,7460.00
30-05-2018,7380.00
31-05-2018,7485.00
01-06-2018,7514.00
02-06-2018,7636.00
03-06-2018,7706.00
04-06-2018,7487.00
05-06-2018,7613.00
06-06-2018,7655.00
07-06-2018,7685.00
08-06-2018,7619.00
09-06-2018,7496.00
10-06-2018,6770.00
11-06-2018,6881.00
12-06-2018,6545.00
13-06-2018,6302.00
14-06-2018,6638.00
15-06-2018,6391.00
16-06-2018,6484.00
17-06-2018,6447.00
18-06-2018,6709.00
19-06-2018,6736.00
20-06-2018,6756.00
21-06-2018,6719.00
22-06-2018,6060.00
23-06-2018,6178.00
24-06-2018,6150.00
25-06-2018,6246.00
26-06-2018,6074.00
27-06-2018,6132.00
28-06-2018,5852.00
29-06-2018,6202.00
30-06-2018,6383.00
01-07-2018,6350.00
02-07-2018,6612.00
03-07-2018,6503.00
04-07-2018,6587.00
05-07-2018,6533.00
06-07-2018,6600.00
07-07-2018,6753.00
08-07-2018,6702.00
09-07-2018,6664.00
10-07-2018,6304.00
11-07-2018,6390.00
12-07-2018,6250.00
13-07-2018,6216.00
14-07-2018,6249.00
15-07-2018,6349.00
16-07-2018,6729.00
17-07-2018,7315.00
18-07-2018,7379.00
19-07-2018,7470.00
20-07-2018,7334.00
21-07-2018,7408.00
22-07-2018,7398.00
23-07-2018,7720.00
24-07-2018,8386.00
25-07-2018,8157.00
26-07-2018,7932.00
27-07-2018,8184.00
28-07-2018,8229.00
29-07-2018,8216.00
30-07-2018,8170.00
31-07-2018,7727.00
01-08-2018,7604.00
02-08-2018,7534.00
03-08-2018,7414.00
04-08-2018,7005.00
05-08-2018,7030.00
06-08-2018,6938.00
07-08-2018,6718.00
08-08-2018,6283.00
09-08-2018,6546.00
10-08-2018,6146.00
11-08-2018,6236.00
12-08-2018,6316.00
13-08-2018,6254.00
14-08-2018,6195.00
15-08-2018,6269.00
16-08-2018,6316.00
17-08-2018,6585.00
18-08-2018,6397.00
19-08-2018,6490.00
20-08-2018,6259.00
21-08-2018,6476.00
22-08-2018,6360.00
23-08-2018,6526.00
24-08-2018,6691.00
25-08-2018,6738.00
26-08-2018,6710.00
27-08-2018,6912.00
28-08-2018,7071.00
29-08-2018,7031.00
30-08-2018,6983.00
31-08-2018,7015.00
01-09-2018,7191.00
02-09-2018,7295.00
03-09-2018,7257.00
04-09-2018,7360.00
05-09-2018,6688.00
06-09-2018,6495.00
07-09-2018,6395.00
08-09-2018,6188.00
09-09-2018,6235.00
10-09-2018,6300.00
11-09-2018,6283.00
12-09-2018,6326.00
13-09-2018,6486.00
14-09-2018,6478.00
15-09-2018,6519.00
16-09-2018,6498.00
17-09-2018,6251.00
18-09-2018,6336.00
19-09-2018,6387.00
20-09-2018,6493.00
21-09-2018,6750.00
22-09-2018,6707.00
23-09-2018,6697.00
24-09-2018,6582.00
25-09-2018,6437.00
26-09-2018,6456.00
27-09-2018,6680.00
28-09-2018,6620.00
29-09-2018,6581.00
30-09-2018,6605.00
01-10-2018,6573.00
02-10-2018,6498.00
03-10-2018,6466.00
04-10-2018,6547.00
05-10-2018,6594.00
06-10-2018,6552.00
07-10-2018,6570.00
08-10-2018,6608.00
09-10-2018,6589.00
10-10-2018,6525.00
11-10-2018,6155.00
12-10-2018,6188.00
13-10-2018,6196.00
14-10-2018,6183.00
15-10-2018,6440.00
16-10-2018,6457.00
17-10-2018,6444.00
18-10-2018,6395.00
19-10-2018,6383.00
20-10-2018,6414.00
21-10-2018,6416.00
22-10-2018,6408.00
23-10-2018,6395.00
24-10-2018,6416.00
25-10-2018,6396.00
26-10-2018,6405.00
27-10-2018,6409.00
28-10-2018,6404.00
29-10-2018,6266.00
30-10-2018,6268.00
31-10-2018,6304.00
01-11-2018,6344.00
02-11-2018,6350.00
03-11-2018,6332.00
04-11-2018,6423.00
05-11-2018,6404.00
06-11-2018,6449.00
07-11-2018,6503.00
08-11-2018,6406.00
09-11-2018,6335.00
10-11-2018,6347.00
11-11-2018,6358.00
12-11-2018,6328.00
13-11-2018,6259.00
14-11-2018,5605.00
15-11-2018,5580.00
16-11-2018,5512.00
17-11-2018,5504.00
18-11-2018,5560.00
19-11-2018,4734.00
20-11-2018,4349.00
21-11-2018,4545.00
22-11-2018,4265.00
23-11-2018,4284.00
24-11-2018,3775.00
25-11-2018,3937.00
26-11-2018,3731.00
27-11-2018,3775.00
28-11-2018,4225.00
29-11-2018,4248.00
30-11-2018,3976.00
01-12-2018,4142.00
02-12-2018,4103.00
03-12-2018,3833.00
04-12-2018,3902.00
05-12-2018,3694.00
06-12-2018,3433.00
07-12-2018,3380.00
08-12-2018,3401.00
09-12-2018,3531.00
10-12-2018,3410.00
11-12-2018,3349.00
12-12-2018,3430.00
13-12-2018,3265.00
14-12-2018,3196.00
15-12-2018,3183.00
16-12-2018,3195.00
17-12-2018,3497.00
18-12-2018,3668.00
19-12-2018,3683.00
20-12-2018,4075.00
21-12-2018,3839.00
22-12-2018,3980.00
23-12-2018,3945.00
24-12-2018,4034.00
25-12-2018,3780.00
26-12-2018,3810.00
27-12-2018,3590.00
28-12-2018,3888.00
29-12-2018,3729.00
30-12-2018,3829.00
31-12-2018,3692.00
01-01-2019,3826.00
02-01-2019,3891.00
03-01-2019,3788.00
04-01-2019,3820.00
05-01-2019,3799.00
06-01-2019,4041.00
07-01-2019,4006.00
08-01-2019,3994.00
09-01-2019,4004.00
10-01-2019,3626.00
11-01-2019,3636.00
12-01-2019,3619.00
13-01-2019,3514.00
14-01-2019,3664.00
15-01-2019,3581.00
16-01-2019,3610.00
17-01-2019,3641.00
18-01-2019,3608.00
19-01-2019,3683.00
20-01-2019,3536.00
21-01-2019,3532.00
22-01-2019,3577.00
23-01-2019,3553.00
24-01-2019,3569.00
25-01-2019,3562.00
26-01-2019,3556.00
27-01-2019,3531.00
28-01-2019,3430.00
29-01-2019,3397.00
30-01-2019,3438.00
31-01-2019,3412.00
01-02-2019,3438.00
02-02-2019,3468.00
03-02-2019,3415.00
04-02-2019,3410.00
05-02-2019,3428.00
06-02-2019,3367.00
07-02-2019,3359.00
08-02-2019,3622.00
09-02-2019,3624.00
10-02-2019,3649.00
11-02-2019,3590.00
12-02-2019,3588.00
13-02-2019,3577.00
14-02-2019,3562.00
15-02-2019,3567.00
16-02-2019,3582.00
17-02-2019,3625.00
18-02-2019,3867.00
19-02-2019,3888.00
20-02-2019,3939.00
21-02-2019,3898.00
22-02-2019,3942.00
23-02-2019,4110.00
24-02-2019,3734.00
25-02-2019,3819.00
26-02-2019,3799.00
27-02-2019,3800.00
28-02-2019,3792.00
01-03-2019,3806.00
02-03-2019,3810.00
03-03-2019,3787.00
04-03-2019,3701.00
05-03-2019,3845.00
06-03-2019,3852.00
07-03-2019,3857.00
08-03-2019,3843.00
09-03-2019,3917.00
10-03-2019,3901.00
11-03-2019,3850.00
12-03-2019,3860.00
13-03-2019,3851.00
14-03-2019,3854.00
15-03-2019,3903.00
16-03-2019,3990.00
17-03-2019,3967.00
18-03-2019,3971.00
19-03-2019,4001.00
20-03-2019,4032.00
21-03-2019,3973.00
22-03-2019,3984.00
23-03-2019,3983.00
24-03-2019,3970.00
25-03-2019,3908.00
26-03-2019,3921.00
27-03-2019,4027.00
28-03-2019,4011.00
29-03-2019,4091.00
30-03-2019,4094.00
31-03-2019,4095.00
01-04-2019,4137.00
02-04-2019,4902.00
03-04-2019,4976.00
04-04-2019,4906.00
05-04-2019,5041.00
06-04-2019,5049.00
07-04-2019,5195.00
08-04-2019,5286.00
09-04-2019,5187.00
10-04-2019,5319.00
11-04-2019,5041.00
12-04-2019,5078.00
13-04-2019,5066.00
14-04-2019,5164.00
15-04-2019,5030.00
16-04-2019,5203.00
17-04-2019,5227.00
18-04-2019,5280.00
19-04-2019,5290.00
20-04-2019,5320.00
21-04-2019,5298.00
22-04-2019,5388.00
23-04-2019,5533.00
24-04-2019,5442.00
25-04-2019,5135.00
26-04-2019,5160.00
27-04-2019,5171.00
28-04-2019,5155.00
29-04-2019,5148.00
30-04-2019,5271.00
01-05-2019,5321.00
02-05-2019,5390.00
03-05-2019,5657.00
04-05-2019,5770.00
05-05-2019,5716.00
06-05-2019,5688.00
07-05-2019,5748.00
08-05-2019,5948.00
09-05-2019,6153.00
10-05-2019,6343.00
11-05-2019,7220.00
12-05-2019,6980.00
13-05-2019,7825.00
14-05-2019,7991.00
15-05-2019,8203.00
16-05-2019,7879.00
17-05-2019,7364.00
18-05-2019,7262.00
19-05-2019,8200.00
20-05-2019,8000.00
21-05-2019,7952.00
22-05-2019,7626.00
23-05-2019,7882.00
24-05-2019,7995.00
25-05-2019,8067.00
26-05-2019,8760.00
27-05-2019,8783.00
28-05-2019,8687.00
29-05-2019,8661.00
30-05-2019,8274.00
31-05-2019,8550.00
01-06-2019,8558.00
02-06-2019,8741.00
03-06-2019,8015.00
04-06-2019,7688.00
