DATE,Corporate Profit ( in Billion)
01-01-2018,1946.553
01-04-2018,1972.005
01-07-2018,1986.036
01-10-2018,2005.318
01-01-2019,1937.217
01-04-2019,1985.5
01-07-2019,1923.429
01-10-2019,1963.58
01-01-2020,1743.383
01-04-2020,1577.736
01-07-2020,2148.157
01-10-2020,2164.457
01-01-2021,2367.593
01-04-2021,2690.388
01-07-2021,2721.601
01-10-2021,2700.326
