DATE,Emp_level (1000),Unemp_level(1000)
01-05-1968,76107,2740
01-06-1968,76182,2938
01-07-1968,76087,2883
01-08-1968,76043,2768
01-09-1968,76172,2686
01-10-1968,76224,2689
01-11-1968,76494,2715
01-12-1968,76778,2685
01-01-1969,76805,2718
01-02-1969,77327,2692
01-03-1969,77367,2712
01-04-1969,77523,2758
01-05-1969,77412,2713
01-06-1969,77880,2816
01-07-1969,77959,2868
01-08-1969,78250,2856
01-09-1969,78250,3040
01-10-1969,78445,3049
01-11-1969,78541,2856
01-12-1969,78740,2884
01-01-1970,78780,3201
01-02-1970,78698,3453
01-03-1970,78863,3635
01-04-1970,78930,3797
01-05-1970,78564,3919
01-06-1970,78413,4071
01-07-1970,78726,4175
01-08-1970,78624,4256
01-09-1970,78498,4456
01-10-1970,78685,4591
01-11-1970,78650,4898
01-12-1970,78594,5076
01-01-1971,78864,4986
01-02-1971,78700,4903
01-03-1971,78588,4987
01-04-1971,78987,4959
01-05-1971,79139,4996
01-06-1971,78757,4949
01-07-1971,79305,5035
01-08-1971,79539,5134
01-09-1971,79689,5042
01-10-1971,79918,4954
01-11-1971,80297,5161
01-12-1971,80471,5154
01-01-1972,80959,5019
01-02-1972,81108,4928
01-03-1972,81573,5038
01-04-1972,81655,4959
01-05-1972,81887,4922
01-06-1972,82083,4923
01-07-1972,82230,4913
01-08-1972,82578,4939
01-09-1972,82543,4849
01-10-1972,82616,4875
01-11-1972,82990,4602
01-12-1972,83400,4543
01-01-1973,83161,4326
01-02-1973,83912,4452
01-03-1973,84452,4394
01-04-1973,84559,4459
01-05-1973,84648,4329
01-06-1973,85185,4363
01-07-1973,85299,4305
01-08-1973,85204,4305
01-09-1973,85488,4350
01-10-1973,85987,4144
01-11-1973,86320,4396
01-12-1973,86401,4489
01-01-1974,86555,4644
01-02-1974,86754,4731
01-03-1974,86819,4634
01-04-1974,86669,4618
01-05-1974,86891,4705
01-06-1974,86941,4927
01-07-1974,87149,5063
01-08-1974,87037,5022
01-09-1974,87051,5437
01-10-1974,86995,5523
01-11-1974,86626,6140
01-12-1974,86144,6636
01-01-1975,85627,7501
01-02-1975,85256,7520
01-03-1975,85187,7978
01-04-1975,85189,8210
01-05-1975,85451,8433
01-06-1975,85355,8220
01-07-1975,85894,8127
01-08-1975,86234,7928
01-09-1975,86279,7923
01-10-1975,86370,7897
01-11-1975,86456,7794
01-12-1975,86665,7744
01-01-1976,87400,7534
01-02-1976,87672,7326
01-03-1976,87985,7230
01-04-1976,88416,7330
01-05-1976,88794,7053
01-06-1976,88563,7322
01-07-1976,89093,7490
01-08-1976,89223,7518
01-09-1976,89173,7380
01-10-1976,89274,7430
01-11-1976,89634,7620
01-12-1976,89803,7545
01-01-1977,89928,7280
01-02-1977,90342,7443
01-03-1977,90808,7307
01-04-1977,91271,7059
01-05-1977,91754,6911
01-06-1977,91959,7134
01-07-1977,92084,6829
01-08-1977,92441,6925
01-09-1977,92702,6751
01-10-1977,93052,6763
01-11-1977,93761,6815
01-12-1977,94105,6386
01-01-1978,94384,6489
01-02-1978,94519,6318
01-03-1978,94755,6337
01-04-1978,95394,6180
01-05-1978,95769,6127
01-06-1978,96343,6028
01-07-1978,96090,6309
01-08-1978,96431,6080
01-09-1978,96670,6125
01-10-1978,97133,5947
01-11-1978,97485,6077
01-12-1978,97581,6228
01-01-1979,97948,6109
01-02-1979,98329,6173
01-03-1979,98480,6109
01-04-1979,98103,6069
01-05-1979,98331,5840
01-06-1979,98679,5959
01-07-1979,99006,5996
01-08-1979,98776,6320
01-09-1979,99340,6190
01-10-1979,99404,6296
01-11-1979,99574,6238
01-12-1979,99933,6325
01-01-1980,99879,6683
01-02-1980,99995,6702
01-03-1980,99713,6729
01-04-1980,99233,7358
01-05-1980,98945,7984
01-06-1980,98682,8098
01-07-1980,98796,8363
01-08-1980,98824,8281
01-09-1980,99077,8021
01-10-1980,99317,8088
01-11-1980,99545,8023
01-12-1980,99634,7718
01-01-1981,99955,8071
01-02-1981,100191,8051
01-03-1981,100571,7982
01-04-1981,101056,7869
01-05-1981,101048,8174
01-06-1981,100298,8098
01-07-1981,100693,7863
01-08-1981,100689,8036
01-09-1981,100064,8230
01-10-1981,100378,8646
01-11-1981,100207,9029
01-12-1981,99645,9267
01-01-1982,99692,9397
01-02-1982,99762,9705
01-03-1982,99672,9895
01-04-1982,99576,10244
01-05-1982,100116,10335
01-06-1982,99543,10538
01-07-1982,99493,10849
01-08-1982,99633,10881
01-09-1982,99504,11217
01-10-1982,99215,11529
01-11-1982,99112,11938
01-12-1982,99032,12051
01-01-1983,99161,11534
01-02-1983,99089,11545
01-03-1983,99179,11408
01-04-1983,99560,11268
01-05-1983,99642,11154
01-06-1983,100633,11246
01-07-1983,101208,10548
01-08-1983,101608,10623
01-09-1983,102016,10282
01-10-1983,102039,9887
01-11-1983,102729,9499
01-12-1983,102996,9331
01-01-1984,103201,9008
01-02-1984,103824,8791
01-03-1984,103967,8746
01-04-1984,104336,8762
01-05-1984,105193,8456
01-06-1984,105591,8226
01-07-1984,105435,8537
01-08-1984,105163,8519
01-09-1984,105490,8367
01-10-1984,105638,8381
01-11-1984,105972,8198
01-12-1984,106223,8358
01-01-1985,106302,8423
01-02-1985,106555,8321
01-03-1985,106989,8339
01-04-1985,106936,8395
01-05-1985,106932,8302
01-06-1985,106505,8460
01-07-1985,106807,8513
01-08-1985,107095,8196
01-09-1985,107657,8248
01-10-1985,107847,8298
01-11-1985,108007,8128
01-12-1985,108216,8138
01-01-1986,108887,7795
01-02-1986,108480,8402
01-03-1986,108837,8383
01-04-1986,108952,8364
01-05-1986,109089,8439
01-06-1986,109576,8508
01-07-1986,109810,8319
01-08-1986,110015,8135
01-09-1986,110085,8310
01-10-1986,110273,8243
01-11-1986,110475,8159
01-12-1986,110728,7883
01-01-1987,110953,7892
01-02-1987,111257,7865
01-03-1987,111408,7862
01-04-1987,111794,7542
01-05-1987,112434,7574
01-06-1987,112246,7398
01-07-1987,112634,7268
01-08-1987,113057,7261
01-09-1987,112909,7102
01-10-1987,113282,7227
01-11-1987,113505,7035
01-12-1987,113793,6936
01-01-1988,114016,6953
01-02-1988,114227,6929
01-03-1988,114037,6876
01-04-1988,114650,6601
01-05-1988,114292,6779
01-06-1988,114927,6546
01-07-1988,115060,6605
01-08-1988,115282,6843
01-09-1988,115356,6604
01-10-1988,115638,6568
01-11-1988,116100,6537
01-12-1988,116104,6518
01-01-1989,116708,6682
01-02-1989,116776,6359
01-03-1989,117022,6205
01-04-1989,117097,6468
01-05-1989,117099,6375
01-06-1989,117418,6577
01-07-1989,117472,6495
01-08-1989,117655,6511
01-09-1989,117354,6590
01-10-1989,117581,6630
01-11-1989,117912,6725
01-12-1989,117830,6667
01-01-1990,119081,6752
01-02-1990,119059,6651
01-03-1990,119203,6598
01-04-1990,118852,6797
01-05-1990,119151,6742
01-06-1990,118983,6590
01-07-1990,118810,6922
01-08-1990,118802,7188
01-09-1990,118524,7368
01-10-1990,118536,7459
01-11-1990,118306,7764
01-12-1990,118241,7901
01-01-1991,117940,8015
01-02-1991,117755,8265
01-03-1991,117652,8586
01-04-1991,118109,8439
01-05-1991,117440,8736
01-06-1991,117639,8692
01-07-1991,117568,8586
01-08-1991,117484,8666
01-09-1991,117928,8722
01-10-1991,117800,8842
01-11-1991,117770,8931
01-12-1991,117466,9198
01-01-1992,117978,9283
01-02-1992,117753,9454
01-03-1992,118144,9460
01-04-1992,118426,9415
01-05-1992,118375,9744
01-06-1992,118419,10040
01-07-1992,118713,9850
01-08-1992,118826,9787
01-09-1992,118720,9781
01-10-1992,118628,9398
01-11-1992,118876,9565
01-12-1992,118997,9557
01-01-1993,119075,9325
01-02-1993,119275,9183
01-03-1993,119542,9056
01-04-1993,119474,9110
01-05-1993,120115,9149
01-06-1993,120290,9121
01-07-1993,120467,8930
01-08-1993,120856,8763
01-09-1993,120554,8714
01-10-1993,120823,8750
01-11-1993,121169,8542
01-12-1993,121464,8477
01-01-1994,121966,8630
01-02-1994,122086,8583
01-03-1994,121930,8470
01-04-1994,122290,8331
01-05-1994,122864,7915
01-06-1994,122634,7927
01-07-1994,122706,7946
01-08-1994,123342,7933
01-09-1994,123687,7734
01-10-1994,124112,7632
01-11-1994,124516,7375
01-12-1994,124721,7230
01-01-1995,124663,7375
01-02-1995,124928,7187
01-03-1995,124955,7153
01-04-1995,124945,7645
01-05-1995,124421,7430
01-06-1995,124522,7427
01-07-1995,124816,7527
01-08-1995,124852,7484
01-09-1995,125133,7478
01-10-1995,125388,7328
01-11-1995,125188,7426
01-12-1995,125088,7423
01-01-1996,125125,7491
01-02-1996,125639,7313
01-03-1996,125862,7318
01-04-1996,125994,7415
01-05-1996,126244,7423
01-06-1996,126602,7095
01-07-1996,126947,7337
01-08-1996,127172,6882
01-09-1996,127536,6979
01-10-1996,127890,7031
01-11-1996,127771,7236
01-12-1996,127860,7253
01-01-1997,128298,7158
01-02-1997,128298,7102
01-03-1997,128891,7000
01-04-1997,129143,6873
01-05-1997,129464,6655
01-06-1997,129412,6799
01-07-1997,129822,6655
01-08-1997,130010,6608
01-09-1997,130019,6656
01-10-1997,130179,6454
01-11-1997,130653,6308
01-12-1997,130679,6476
01-01-1998,130726,6368
01-02-1998,130807,6306
01-03-1998,130814,6422
01-04-1998,131209,5941
01-05-1998,131325,6047
01-06-1998,131244,6212
01-07-1998,131329,6259
01-08-1998,131390,6179
01-09-1998,131986,6300
01-10-1998,131999,6280
01-11-1998,132280,6100
01-12-1998,132602,6032
01-01-1999,133027,5976
01-02-1999,132856,6111
01-03-1999,132947,5783
01-04-1999,132955,6004
01-05-1999,133311,5796
01-06-1999,133378,5951
01-07-1999,133414,6025
01-08-1999,133591,5838
01-09-1999,133707,5915
01-10-1999,133993,5778
01-11-1999,134309,5716
01-12-1999,134523,5653
01-01-2000,136559,5708
01-02-2000,136598,5858
01-03-2000,136701,5733
